Hardware,Phase,Backend,Training Method,Sharding,Activation Checkpointing,Loader,Run,Metric,Tokens/s,Tokens/s/GPU,Lifecycle active tokens/s,Step time (s),Maximum GPU memory (MiB/GPU),Mean GPU utilization (%),Active tokens/GPU joule,Run status,Total training steps,Warm-up steps,Measured steps,Global batch size,Micro batch size,Pack size (tokens),Tensor parallel size,Expert parallel size,Context parallel size,Pipeline parallel size,NCCL NVLS enable,Task ID,Execution ID,Run ID,Sanitized note,Hardware_clean,Average ratios,Total runtime (s),Relative cost,Cost per million tokens (relative)
A100,Core discovery,AutoModel,SFT,FSDP,On,Default,1,A100 · run 1,14250.964,1781.3705,12195.126,179.46432,63194.0,71.085945,6.981811,Passed,13,3,10,128,1,21504,1,8,1,1,,109152377,154496067,a100-core-discovery-automodel-sft-fsdp-tp1-ep8-ac-on-pf-default,,A100,1.0,2333.0362243652344,0.6480656178792318,45.47521303954655
A100_duplicated_0,Core discovery,AutoModel,SFT,FSDP,On,PF4,2,A100 · run 2,18578.338,2322.2922,14962.315,137.66246,63194.0,90.95289,7.5546365,Passed,13,3,10,128,1,21504,1,8,1,1,,109152378,154496068,a100-core-discovery-automodel-sft-fsdp-tp1-ep8-ac-on-pf4,,A100,1.0,1789.6119842529297,0.49711444007025823,26.757745660396893
A100_duplicated_1,Core discovery,AutoModel,SFT,FSDP,On,Synchronous,3,A100 · run 3,8091.553,1011.44415,7476.4424,316.07523,63254.0,41.108448,5.8170886,Passed,13,3,10,128,1,21504,1,8,1,1,,109152379,154496069,a100-core-discovery-automodel-sft-fsdp-tp1-ep8-ac-on-sync,,A100,1.0,4108.977935791016,1.1413827599419488,141.0585493952003
A100_duplicated_17,Core discovery,AutoModel,LORA,FSDP,On,Default,19,A100 · run 19,14829.289,1853.6611,13472.659,172.46542,36514.0,68.75011,7.374157,Passed,13,3,10,128,1,21504,1,8,1,1,,109152396,154496086,a100-core-discovery-automodel-lora-fsdp-tp1-ep8-ac-on-pf-default,,A100,1.0,2242.050506591797,0.6227918073866102,41.99741503195276
A100_duplicated_18,Core discovery,AutoModel,LORA,FSDP,On,PF4,20,A100 · run 20,19176.494,2397.0618,16538.904,133.36847,36554.0,89.93549,7.9273586,Passed,13,3,10,128,1,21504,1,8,1,1,,109152397,154496087,a100-core-discovery-automodel-lora-fsdp-tp1-ep8-ac-on-pf4,,A100,1.0,1733.7901000976562,0.48160836113823785,25.114515594274383
A100_duplicated_19,Core discovery,AutoModel,LORA,FSDP,On,Synchronous,21,A100 · run 21,8313.178,1039.1472,7953.731,307.64886,36514.0,39.181835,6.128313,Passed,13,3,10,128,1,21504,1,8,1,1,,109152398,154496088,a100-core-discovery-automodel-lora-fsdp-tp1-ep8-ac-on-sync,,A100,1.0,3999.4352416992188,1.1109542338053386,133.63773388502707
A100_duplicated_23,Core discovery,Megatron,LORA,DDP,On,Default,25,A100 · run 25,31754.477,3969.3096,21602.953,80.57083,59950.0,92.90385,11.960662,Passed,13,3,10,128,1,21504,1,8,1,1,,109152402,154496092,a100-core-discovery-megatron-lora-ddp-tp1-ep8-ac-on-pf-default,,A100,1.0,1047.4208068847656,0.2909502241346571,9.162494729270728
A100_duplicated_24,Core discovery,Megatron,LORA,DDP,On,PF4,26,A100 · run 26,31669.055,3958.6318,21421.844,80.78816,59710.0,92.88657,11.966191,Passed,13,3,10,128,1,21504,1,8,1,1,,109152403,154496093,a100-core-discovery-megatron-lora-ddp-tp1-ep8-ac-on-pf4,,A100,1.0,1050.246109008789,0.2917350302802192,9.21199047963276
A100_duplicated_25,Core discovery,Megatron,LORA,DDP,On,Synchronous,27,A100 · run 27,8800.385,1100.0481,7801.199,290.72415,60010.0,38.671314,7.5580626,Passed,13,3,10,128,1,21504,1,8,1,1,,109152404,154496094,a100-core-discovery-megatron-lora-ddp-tp1-ep8-ac-on-sync,,A100,1.0,3779.4139709472656,1.0498372141520182,119.29446747064578
A100_duplicated_29,Core discovery,Megatron,LORA,FSDP,On,Default,31,A100 · run 31,31141.643,3892.7053,21365.465,82.15638,62068.0,91.78176,11.663269,Passed,13,3,10,128,1,21504,1,8,1,1,,109152408,154496098,a100-core-discovery-megatron-lora-fsdp-tp1-ep8-ac-on-pf-default,,A100,1.0,1068.0329360961914,0.2966758155822754,9.52665919397171
